name,instance,run_id,test_incremental/micro/recall,test_pretraining/macro_types/f1,test_pretraining/macro_types/precision,test_pretraining/macro_example/precision,test_incremental_building-theater/macro_types/precision,test/micro/f1,test_incremental/macro_example/recall,test_incremental_building/macro_types/f1,test_incremental_building-dam/macro_types/precision,test_incremental_building-hotel/macro_types/precision,test_incremental_building-airport/macro_types/precision,test/macro_types/recall,test_incremental/macro_example/f1,test_incremental/macro_example_exclusive/f1,test_incremental_building/macro_types/precision,test_pretraining/macro_example/f1,test_pretraining/macro_example/recall,test_incremental_building-restaurant/macro_types/f1,test_incremental_only/macro_types/f1,test_incremental/macro_example_exclusive/recall,test_incremental_building-airport/macro_types/recall,test_incremental/micro/precision,test_incremental_building-hotel/macro_types/recall,test/macro_types/precision,test_incremental_only/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,test_incremental_building-hospital/macro_types/precision,test_incremental_building-sports_facility/macro_types/recall,test_incremental/macro_example/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental/macro_types/recall,test_incremental_building-power_station/macro_types/precision,test_incremental_building-dam/macro_types/recall,test_incremental_building-hospital/macro_types/recall,test_incremental_building-power_station/macro_types/recall,test_incremental_building-dam/macro_types/f1,test_incremental_building-library/macro_types/recall,test_incremental_building-restaurant/macro_types/recall,test_pretraining/micro/recall,test/micro/precision,test_incremental_only/micro/f1,test/macro_example/precision,test_pretraining/macro_types/recall,test_incremental_only/macro_example/recall,test_incremental_building/macro_types/recall,test_incremental_building-hotel/macro_types/f1,test_incremental_building-restaurant/macro_types/precision,test/micro/recall,test_incremental_only/micro/precision,test_incremental_building-theater/macro_types/f1,test_incremental_building-library/macro_types/precision,test_incremental_building-airport/macro_types/f1,test_incremental_only/macro_example/precision,epoch,test/macro_example/recall,test_incremental/macro_types/f1,test_incremental_only/micro/recall,test/macro_types/f1,test_incremental_building-hospital/macro_types/f1,test/macro_example/f1,test_incremental_building-power_station/macro_types/f1,threshold_pretraining,test_incremental/micro/f1,test_incremental_only/macro_example/f1,test_incremental_building-library/macro_types/f1,test_pretraining/micro/f1,test_incremental_only/macro_types/precision,test_incremental/macro_example_exclusive/precision,test_pretraining/micro/precision,test_incremental_building-theater/macro_types/recall,test_incremental_building-sports_facility/macro_types/f1,threshold_incremental,test_incremental/macro_types/precision,test_incremental_only/macro_example_exclusive/recall,test_incremental_building-sports_facility/macro_types/precision
kenn_horizontal_adapter_bert_ms,2,uwovwdb9,0.8459069132804871,0.8728193640708923,0.882982611656189,0.917119026184082,0.8620689511299133,0.8987802863121033,0.1009046584367752,0.8847925662994385,0.5272727012634277,0.92592591047287,0.9375,0.8628873229026794,0.10314446687698364,0.8542858362197876,0.9473684430122375,0.9151576161384584,0.9132046103477478,0.7941175699234009,0.815344512462616,0.8357348442077637,1.0,0.8299212455749512,0.8333333134651184,0.882982611656189,0.8702206015586853,0.882462739944458,0.7941176295280457,0.8999999761581421,0.1054859608411789,0.8777737617492676,0.8661956787109375,0.3846153914928436,0.9666666388511658,0.84375,0.5882353186607361,0.6823528409004211,0.9666666388511658,0.8999999761581421,0.8970037698745728,0.9005640149116516,0.7874794006347656,0.917119026184082,0.8628873229026794,0.08141962438821793,0.829971194267273,0.8771929740905762,0.7105262875556946,0.8970037698745728,0.7220543622970581,0.8474575877189636,0.9666666388511658,0.9677419066429138,0.08228949457406998,51,0.9132046103477478,0.823611319065094,0.8659420013427734,0.8728193640708923,0.8181817531585693,0.9151576161384584,0.46511632204055786,0.375,0.837837815284729,0.0818522498011589,0.9666666388511658,0.8987802863121033,0.7669789791107178,0.8736791610717773,0.9005640149116516,0.8333333134651184,0.84375,0.06999999999999999,0.7850179672241211,0.8731343746185303,0.7941176295280457
kenn_horizontal_adapter_bert_ms,1,2k016cyq,0.8507223129272461,0.8659743666648865,0.8676138520240784,0.8979238867759705,0.7575757503509521,0.8874717354774475,0.10136859118938446,0.8847925662994385,0.6818181872367859,0.3552631437778473,0.7837837934494019,0.8643410205841064,0.10200250893831252,0.8448275923728943,0.9473684430122375,0.9056707620620728,0.9135525226593018,0.7384615540504456,0.7592883706092834,0.839577317237854,0.9666666388511658,0.6937173008918762,0.8999999761581421,0.8676138520240784,0.879588782787323,0.8731343150138855,0.7941176295280457,0.8999999761581421,0.10264439880847932,0.8777737617492676,0.8746269941329956,0.17391304671764374,1.0,0.84375,0.7058823704719543,0.8108108043670654,0.9666666388511658,0.800000011920929,0.8976279497146606,0.8775427341461182,0.6576087474822998,0.8979238867759705,0.8643410205841064,0.08228949457406998,0.829971194267273,0.509433925151825,0.6857143044471741,0.8976279497146606,0.5260869860649109,0.7936508059501648,0.9354838728904724,0.865671694278717,0.08141963183879852,62,0.9135525226593018,0.7750807404518127,0.8768116235733032,0.8659743666648865,0.8181817531585693,0.9056707620620728,0.2790697515010834,0.375,0.7642394304275513,0.0818522498011589,0.9508196711540222,0.8874717354774475,0.6679354906082153,0.8501440286636353,0.8775427341461182,0.8333333134651184,0.8709677457809448,0.04,0.6958788633346558,0.8824626803398132,0.84375
kenn_horizontal_adapter_bert_ms,0,102hanhz,0.841091513633728,0.871356189250946,0.8818354606628418,0.9201229810714722,0.7352941036224365,0.8988107442855835,0.1004987210035324,0.8847925662994385,0.5178571343421936,0.84375,0.9666666388511658,0.8611230254173279,0.10173025727272034,0.842572808265686,0.9473684430122375,0.9164462089538574,0.9127986431121826,0.7666666507720947,0.8061743378639221,0.8323727250099182,0.9666666388511658,0.8343949317932129,0.8999999761581421,0.8818354606628418,0.8588507175445557,0.8805969953536987,0.7142857313156128,0.8333333134651184,0.10299234837293623,0.8730705380439758,0.8559628129005432,0.4634146392345429,0.9666666388511658,0.9375,0.5588235259056091,0.674418568611145,0.9666666388511658,0.7666666507720947,0.8963795304298401,0.9012552499771118,0.7866666316986084,0.9201229810714722,0.8611230254173279,0.08072373270988464,0.829971194267273,0.8709677457809448,0.7666666507720947,0.8963795304298401,0.7283950448036194,0.78125,0.9354838728904724,0.9666666388511658,0.08211551606655121,51,0.9127986431121826,0.8153214454650879,0.8550724387168884,0.871356189250946,0.8108108043670654,0.9164462089538574,0.5066667199134827,0.375,0.837729811668396,0.08141367882490158,0.9508196711540222,0.8988107442855835,0.7595862150192261,0.8530259132385254,0.9012552499771118,0.8333333134651184,0.8620689511299133,0.09,0.7783644199371338,0.8656716346740723,0.8928571343421936
kenn_hybrid_adapter_bert_ms,2,20ab1i5k,0.8378812074661255,0.875070333480835,0.8905186057090759,0.9235618710517884,0.8620689511299133,0.9013082385063172,0.10015077143907548,0.8847925662994385,0.557692289352417,0.8333333134651184,0.9375,0.8601489663124084,0.1006125658750534,0.8333156108856201,0.9473684430122375,0.9180607199668884,0.912624716758728,0.8064516186714172,0.8336477875709534,0.8294908404350281,1.0,0.8743718862533569,0.8333333134651184,0.8905186057090759,0.8525735139846802,0.8675373196601868,0.8709677457809448,0.8999999761581421,0.10107863694429398,0.8628479242324829,0.8503133058547974,0.7200000286102295,0.9666666388511658,0.84375,0.529411792755127,0.707317054271698,0.9333333373069764,0.8333333134651184,0.8959633708000183,0.9067171812057496,0.8224955797195435,0.9235618710517884,0.8601489663124084,0.08002783358097076,0.829971194267273,0.8333333134651184,0.78125,0.8959633708000183,0.7986348271369934,0.8474575877189636,0.9333333373069764,0.9677419066429138,0.08089770376682281,72,0.912624716758728,0.8393810987472534,0.8478260636329651,0.875070333480835,0.8571428656578064,0.9180607199668884,0.610169529914856,0.375,0.8557376861572266,0.08046041429042816,0.9333333373069764,0.9013082385063172,0.8155440092086792,0.8371757864952087,0.9067171812057496,0.8333333134651184,0.8709677457809448,0.13,0.8287264108657837,0.858208954334259,0.84375
kenn_top_down_adapter_bert_ms,2,1cl2s4uv,0.8426966071128845,0.8702306747436523,0.878751814365387,0.9198155999183656,0.7142857313156128,0.898269772529602,0.10067269206047058,0.8847925662994385,0.5,0.8928571343421936,0.8823529481887817,0.8618731498718262,0.10167741030454636,0.8421351313591003,0.9473684430122375,0.9164105653762816,0.9130306243896484,0.8181817531585693,0.796906590461731,0.8338136076927185,1.0,0.8254716992378235,0.8333333134651184,0.878751814365387,0.8636846542358398,0.8824626803398132,0.6428571343421936,0.8999999761581421,0.10270238667726515,0.8758842349052429,0.8603132963180542,0.5142857432365417,0.9666666388511658,0.84375,0.529411792755127,0.6590908765792847,0.9666666388511658,0.8999999761581421,0.896587610244751,0.8999582529067993,0.7796052694320679,0.9198155999183656,0.8618731498718262,0.08107167482376099,0.829971194267273,0.8620689511299133,0.75,0.896587610244751,0.7138554453849792,0.7692307233810425,0.9666666388511658,0.9375,0.08228949457406998,73,0.9130306243896484,0.8073215484619141,0.8586956262588501,0.8702306747436523,0.7297297716140747,0.9164105653762816,0.5217391848564148,0.375,0.8339952230453491,0.08167605102062225,0.9666666388511658,0.898269772529602,0.7397136688232422,0.8506243824958801,0.8999582529067993,0.8333333134651184,0.84375,0.25,0.7604791522026062,0.8694030046463013,0.7941176295280457
kenn_bottom_up_adapter_bert_ms,2,w1qncf47,0.8378812074661255,0.8779534101486206,0.8965839743614197,0.92559152841568,0.92592591047287,0.9029146432876588,0.1000927835702896,0.8847925662994385,0.707317054271698,0.8928571343421936,1.0,0.8600813746452332,0.10183080285787582,0.8434054851531982,0.9473684430122375,0.919047713279724,0.9125956892967224,0.8333333134651184,0.8533831238746643,0.8290104866027832,0.9666666388511658,0.8999999761581421,0.8333333134651184,0.8965839743614197,0.8521378040313721,0.8656716346740723,0.8999999761581421,0.8999999761581421,0.10363025218248367,0.8609821796417236,0.8499211668968201,0.6551724076271057,0.9666666388511658,0.84375,0.5588235259056091,0.8169013857841492,0.9333333373069764,0.8333333134651184,0.8959633708000183,0.9099746346473694,0.8478260040283203,0.92559152841568,0.8600813746452332,0.07985386252403259,0.829971194267273,0.8620689511299133,0.8333333134651184,0.8959633708000183,0.8478260636329651,0.8771929740905762,0.9333333373069764,0.98305082321167,0.08072373270988464,56,0.9125956892967224,0.8568563461303711,0.8478260636329651,0.8779534101486206,0.8709677457809448,0.919047713279724,0.60317462682724,0.375,0.8678303956985474,0.08028644323348999,0.9333333373069764,0.9029146432876588,0.8546321392059326,0.858309268951416,0.9099746346473694,0.8333333134651184,0.8709677457809448,0.19,0.8639057278633118,0.8563432693481445,0.84375
kenn_hybrid_adapter_bert_ms,1,3kj043wd,0.8539325594902039,0.8654096722602844,0.8652612566947937,0.905683159828186,0.7352941036224365,0.8898051381111145,0.10177452862262726,0.8847925662994385,0.7692307829856873,0.33734938502311707,0.90625,0.8655580282211304,0.10069026798009872,0.83395916223526,0.9473684430122375,0.9097301363945008,0.9138134717941284,0.8387096524238586,0.7522276639938354,0.8429394364356995,0.9666666388511658,0.7160161733627319,0.9333333373069764,0.8652612566947937,0.8874319791793823,0.8843283653259277,0.6279069781303406,0.8999999761581421,0.09962885826826096,0.888043999671936,0.8816858530044556,0.23232322931289673,1.0,0.84375,0.6764705777168274,0.8695651888847351,0.9666666388511658,0.8666666746139526,0.8980441093444824,0.8817160129547119,0.6825175285339355,0.905683159828186,0.8655580282211304,0.08315936475992203,0.829971194267273,0.4955752193927765,0.8125,0.8980441093444824,0.5558086633682251,0.78125,0.7435897588729858,0.9354838132858276,0.08246346563100815,62,0.9138134717941284,0.7692415118217468,0.8840579986572266,0.8654096722602844,0.7200000286102295,0.9097301363945008,0.3458646833896637,0.375,0.7789165377616882,0.08280995488166809,0.8405797481536865,0.8898051381111145,0.6527745127677917,0.8251681327819824,0.8817160129547119,0.8333333134651184,0.7941175699234009,0.09,0.6822339296340942,0.8917909860610962,0.7105262875556946
kenn_top_down_adapter_bert_ms,1,28u7thc8,0.841091513633728,0.8664515018463135,0.8718744516372681,0.9112908840179444,0.7575757503509521,0.89312744140625,0.10044073313474657,0.8847925662994385,0.8055555820465088,0.3661971688270569,0.8787878751754761,0.8610955476760864,0.10184169560670853,0.843495786190033,0.9473684430122375,0.9120151996612548,0.9127407073974608,0.7540983557701111,0.768455445766449,0.8318923711776733,0.9666666388511658,0.7605224847793579,0.8666666746139526,0.8718744516372681,0.8586737513542175,0.8731343150138855,0.6585366129875183,0.8999999761581421,0.10328230261802672,0.868445098400116,0.8558034896850586,0.27272728085517883,0.9666666388511658,0.84375,0.6176470518112183,0.8787878155708313,0.9666666388511658,0.7666666507720947,0.8963795304298401,0.8898987770080566,0.7140696048736572,0.9112908840179444,0.8610955476760864,0.08054976165294647,0.829971194267273,0.514851450920105,0.7419354915618896,0.8963795304298401,0.6129870414733887,0.7936508059501648,0.90625,0.920634925365448,0.08141962438821793,62,0.9127407073974608,0.7823980450630188,0.8550724387168884,0.8664515018463135,0.7397260069847107,0.9120151996612548,0.37837842106819153,0.375,0.7987805008888245,0.08098234981298447,0.9354838132858276,0.89312744140625,0.6953926086425781,0.8554274439811707,0.8898987770080566,0.8333333134651184,0.8852458596229553,0.42,0.7205902338027954,0.8638060092926025,0.8709677457809448
kenn_bottom_up_adapter_bert_ms,1,3bwsi4ek,0.8539325594902039,0.8661161661148071,0.8666750192642212,0.9041811227798462,0.6578947305679321,0.889255166053772,0.10177452862262726,0.8847925662994385,0.75,0.3294117748737335,0.90625,0.8655580282211304,0.101716510951519,0.8424589037895203,0.9473684430122375,0.9089717864990234,0.9138134717941284,0.8387096524238586,0.7582412958145142,0.8429394364356995,0.9666666388511658,0.7102803587913513,0.9333333373069764,0.8666750192642212,0.8874319791793823,0.882462739944458,0.6136363744735718,0.8999999761581421,0.10165855288505554,0.8871023654937744,0.8816858530044556,0.2149532735347748,1.0,0.84375,0.6764705777168274,0.8571428656578064,0.9666666388511658,0.8666666746139526,0.8980441093444824,0.8806366324424744,0.6768377423286438,0.9041811227798462,0.8655580282211304,0.08315936475992203,0.829971194267273,0.48695650696754456,0.8125,0.8980441093444824,0.54831463098526,0.7352941036224365,0.8285714387893677,0.9354838132858276,0.08228949457406998,61,0.9138134717941284,0.7744265794754028,0.8840579986572266,0.8661161661148071,0.7105263471603394,0.9089717864990234,0.3262411653995514,0.375,0.7755101323127747,0.08272214233875275,0.892307698726654,0.889255166053772,0.6618853211402893,0.8419788479804993,0.8806366324424744,0.8333333134651184,0.8709677457809448,0.09,0.6904336214065552,0.8917909860610962,0.84375
kenn_hybrid_adapter_bert_ms,0,1gog0y6s,0.8346709609031677,0.8712066411972046,0.8839513063430786,0.9228949546813964,0.8333333134651184,0.899477481842041,0.09980282932519911,0.8847925662994385,0.5625,0.6410256624221802,0.90625,0.8588241934776306,0.10077903419733047,0.8346943855285645,0.9473684430122375,0.9175991415977478,0.9123637676239014,0.7076922655105591,0.8070783615112305,0.8266090154647827,0.9666666388511658,0.8496732115745544,0.8333333134651184,0.8839513063430786,0.8440359234809875,0.8656716346740723,0.9677419066429138,0.8333333134651184,0.10177452862262726,0.8581441044807434,0.8426294922828674,0.5588235259056091,0.8999999761581421,0.9375,0.5588235259056091,0.6923076510429382,0.9666666388511658,0.7666666507720947,0.8955472111701965,0.9034425020217896,0.7945204973220825,0.9228949546813964,0.8588241934776306,0.07933194190263748,0.829971194267273,0.7246376276016235,0.6571428775787354,0.8955472111701965,0.7532467246055603,0.8333333134651184,0.90625,0.9354838132858276,0.08072373270988464,74,0.9123637676239014,0.8158052563667297,0.8405796885490417,0.8712066411972046,0.952380895614624,0.9175991415977478,0.5588235259056091,0.375,0.8421053290367126,0.08002179116010666,0.9354838132858276,0.899477481842041,0.773221492767334,0.8429394960403442,0.9034425020217896,0.8333333134651184,0.8771929740905762,0.41,0.7906361818313599,0.8507462739944458,0.92592591047287
