name,instance,run_id,test_incremental_building/macro_types/precision,test_incremental_building-sports_facility/macro_types/recall,test_incremental/macro_example/recall,test_incremental_building-library/macro_types/precision,test_incremental_building-power_station/macro_types/precision,test_pretraining/macro_types/precision,test_incremental_only/macro_types/f1,test_incremental_building-dam/macro_types/recall,test_incremental_building-hotel/macro_types/precision,test_incremental_building-airport/macro_types/f1,test_pretraining/macro_types/f1,test_incremental/macro_types/f1,test_incremental_only/macro_example/recall,test_incremental_only/macro_types/precision,test_incremental_building-sports_facility/macro_types/precision,test_pretraining/macro_example/precision,test_incremental_building-library/macro_types/recall,test_pretraining/macro_types/recall,test_incremental_building-hotel/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test_incremental_only/macro_types/recall,test/micro/recall,test_incremental_building-hospital/macro_types/recall,test_incremental_building-restaurant/macro_types/f1,test_incremental_building/macro_types/recall,test_incremental/micro/precision,test_incremental_only/micro/recall,test_incremental_building-power_station/macro_types/recall,test_pretraining/micro/precision,test_incremental/macro_types/recall,test_incremental_building/macro_types/f1,test_incremental_building-theater/macro_types/f1,test_incremental/macro_example/f1,test_incremental_building-dam/macro_types/f1,test_incremental/macro_example_exclusive/precision,test_incremental_building-hospital/macro_types/precision,test_incremental/micro/f1,test/macro_example/precision,threshold_incremental,test/macro_example/recall,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_example_exclusive/f1,epoch,test_incremental/macro_types/precision,test_incremental_only/macro_example/precision,test_incremental_building-dam/macro_types/precision,test_incremental_building-theater/macro_types/precision,test/macro_types/f1,test/macro_types/precision,test_incremental/micro/recall,test_incremental_building-library/macro_types/f1,test_incremental_building-airport/macro_types/precision,test_incremental_only/micro/f1,test_pretraining/macro_example/recall,test_incremental_only/macro_example/f1,test_incremental_building-theater/macro_types/recall,test_incremental_building-power_station/macro_types/f1,test_incremental_building-hotel/macro_types/recall,test/macro_types/recall,test_incremental_only/micro/precision,test_incremental/macro_example_exclusive/f1,test_incremental_building-sports_facility/macro_types/f1,test_pretraining/macro_example/f1,test/micro/precision,test_incremental_building-restaurant/macro_types/recall,test_incremental_building-restaurant/macro_types/precision,test/micro/f1,test/macro_example/f1,test_pretraining/micro/f1,threshold_pretraining,test_pretraining/micro/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental_building-hospital/macro_types/f1,test_incremental_building-airport/macro_types/recall
kenn_horizontal_adapter_bert_ms,2,2njco44p,0.9473684430122375,0.8999999761581421,0.10061470419168472,0.9666666388511658,0.3846153914928436,0.879921555519104,0.8008855581283569,0.9666666388511658,0.92592591047287,1.0,0.8707348108291626,0.8107799291610718,0.08089770376682281,0.7472521066665649,0.8181818127632141,0.914045512676239,0.9666666388511658,0.8617379069328308,0.8771929740905762,0.875,0.8628131747245789,0.896587610244751,0.84375,0.5494505167007446,0.829971194267273,0.8003048896789551,0.8586956262588501,0.5882353186607361,0.8962146639823914,0.8595290184020996,0.8847925662994385,0.8771929740905762,0.10252061486244202,0.6590908765792847,0.8655139207839966,0.7941176295280457,0.8209538459777832,0.914045512676239,0.09,0.912972629070282,0.10450011491775511,0.8333332538604736,0.8712526559829712,24,0.7672638297080994,0.0815935954451561,0.5,0.92592591047287,0.8707348108291626,0.879921555519104,0.8426966071128845,0.9666666388511658,1.0,0.7547771334648132,0.912972629070282,0.08124416321516037,0.8333333134651184,0.46511632204055786,0.8333333134651184,0.8617379069328308,0.6732954382896423,0.8491188287734985,0.8571428060531616,0.9135087728500366,0.8962146639823914,0.8333333134651184,0.4098360538482666,0.8964011073112488,0.9135087728500366,0.8964011073112488,0.375,0.896587610244751,0.8675373196601868,0.8181817531585693,1.0
kenn_horizontal_adapter_bert_ms,1,34nmwjls,0.9473684430122375,0.8999999761581421,0.10142658650875092,0.9666666388511658,0.2613636255264282,0.8793837428092957,0.8058984875679016,0.8999999761581421,0.4000000059604645,0.9677419066429138,0.8717770576477051,0.8155601620674133,0.08246346563100815,0.7437859773635864,0.8709677457809448,0.9105485677719116,0.9666666388511658,0.8643008470535278,0.5473684072494507,0.8861939907073975,0.879330039024353,0.8976279497146606,0.9375,0.7936508059501648,0.829971194267273,0.7771260738372803,0.8768116235733032,0.6764705777168274,0.8924286365509033,0.8743941783905029,0.8847925662994385,0.8620689511299133,0.10322099179029463,0.8181817531585693,0.8703169822692871,0.8571428656578064,0.8122605681419373,0.9105485677719116,0.1,0.9134655594825744,0.1050800234079361,0.8400576114654541,0.8852601647377014,48,0.764144241809845,0.08263743668794632,0.75,0.8928571343421936,0.8717770576477051,0.8793837428092957,0.8507223129272461,0.9666666388511658,0.9375,0.7400611042976379,0.9134655594825744,0.08255035430192947,0.8333333134651184,0.3770491480827331,0.8666666746139526,0.8643008470535278,0.6402116417884827,0.8549196124076843,0.8852458596229553,0.9120047092437744,0.8924286365509033,0.8333333134651184,0.7575757503509521,0.8950207829475403,0.9120047092437744,0.8950207829475403,0.375,0.8976279497146606,0.8843283653259277,0.89552241563797,1.0
kenn_horizontal_adapter_bert_ms,0,25h4vm0n,0.9473684430122375,0.8999999761581421,0.1025284081697464,0.8055555820465088,0.10096153616905212,0.8370571136474609,0.6189097166061401,1.0,0.3970588147640228,0.8695651888847351,0.8521747589111328,0.6567196846008301,0.08472512662410736,0.47101426124572754,0.692307710647583,0.8692588806152344,0.9666666388511658,0.8678484559059143,0.5510203838348389,0.908582091331482,0.9021922945976256,0.898876428604126,0.96875,0.5454545021057129,0.829971194267273,0.532274067401886,0.8985507488250732,0.6176470518112183,0.8373715877532959,0.894970178604126,0.8847925662994385,0.5416666865348816,0.10166585445404051,0.5357142686843872,0.8350143432617188,0.3229166567325592,0.6576686501502991,0.8692588806152344,0.01,0.9141904711723328,0.10081768035888672,0.8491834998130798,0.908582091331482,27,0.518649697303772,0.08472511917352676,0.3658536672592163,0.3939394056797027,0.8521747589111328,0.8370571136474609,0.8603531122207642,0.8787878155708313,0.7692307829856873,0.5066394805908203,0.9141904711723328,0.08472511917352676,0.8666666746139526,0.1735537052154541,0.8999999761581421,0.8678484559059143,0.3527738153934479,0.8420392870903015,0.782608687877655,0.8911586403846741,0.8373715877532959,0.8999999761581421,0.3913043439388275,0.8670346736907959,0.8911586403846741,0.8670346736907959,0.375,0.898876428604126,0.908582091331482,0.4843749701976776,1.0
kenn_hybrid_adapter_bert_ms,2,37ev9x5n,0.9473684430122375,0.8999999761581421,0.10148458182811736,0.8055555820465088,0.28947368264198303,0.8647654056549072,0.7475995421409607,0.9666666388511658,0.7352941036224365,0.9375,0.8646208047866821,0.7650234699249268,0.08263744413852692,0.6495786905288696,0.7714285850524902,0.9101078510284424,0.9666666388511658,0.864476203918457,0.78125,0.871268630027771,0.880460262298584,0.8976279497146606,0.84375,0.5957446694374084,0.829971194267273,0.7391910552978516,0.8768116235733032,0.6470588445663452,0.8860135674476624,0.875411331653595,0.8847925662994385,0.7692307233810425,0.10063667595386504,0.6236559152603149,0.8266090154647827,0.75,0.7910447716712952,0.9101078510284424,0.08,0.913610577583313,0.09980282932519911,0.8405379056930542,0.878667950630188,32,0.679357647895813,0.08124565333127975,0.460317462682724,0.7142857313156128,0.8646208047866821,0.8647654056549072,0.8507223129272461,0.8787878155708313,0.8823529481887817,0.7024673223495483,0.913610577583313,0.08193564414978027,0.8333333134651184,0.4000000059604645,0.8333333134651184,0.864476203918457,0.5859563946723938,0.8335152864456177,0.8307691812515259,0.9118558168411256,0.8860135674476624,0.9333333373069764,0.4375,0.8917829394340515,0.9118558168411256,0.8917829394340515,0.375,0.8976279497146606,0.8861939907073975,0.7941176295280457,1.0
kenn_top_down_adapter_bert_ms,2,3v6wbruu,0.9473684430122375,0.8999999761581421,0.10148457437753676,0.90625,0.21875,0.8606464266777039,0.729858934879303,0.9666666388511658,0.78125,0.9230769276618958,0.8625907301902771,0.7497835755348206,0.08263744413852692,0.6230345368385315,0.75,0.9040768146514891,0.9666666388511658,0.8645438551902771,0.8064516186714172,0.8843283653259277,0.8808959722518921,0.8976279497146606,0.84375,0.5523809194564819,0.829971194267273,0.6992084383964539,0.8768116235733032,0.6176470518112183,0.8786150813102722,0.8758034706115723,0.8847925662994385,0.7142857313156128,0.1017737090587616,0.6041666865348816,0.8453410267829895,0.6428571343421936,0.7675597071647644,0.9040768146514891,0.2,0.913610577583313,0.10206449031829834,0.8405379056930542,0.8852601647377014,32,0.6554679274559021,0.08246346563100815,0.4393939375877381,0.625,0.8625907301902771,0.8606464266777039,0.8507223129272461,0.9354838132858276,0.8571428656578064,0.6630136370658875,0.913610577583313,0.08255036920309067,0.8333333134651184,0.32307690382003784,0.8333333134651184,0.8645438551902771,0.5330396294593811,0.8429325819015503,0.8181817531585693,0.9088187217712402,0.8786150813102722,0.9666666388511658,0.3866666555404663,0.8880198001861572,0.9088187217712402,0.8880198001861572,0.375,0.8976279497146606,0.8861939907073975,0.7297297716140747,1.0
kenn_bottom_up_adapter_bert_ms,2,2vjpuf18,0.9473684430122375,0.8999999761581421,0.10044073313474657,0.9354838728904724,0.5128205418586731,0.8828521966934204,0.8099645376205444,0.9666666388511658,0.8275862336158752,0.9836065173149108,0.8718728423118591,0.8186511993408203,0.08054975420236588,0.7661380171775818,0.84375,0.9196822643280028,0.9666666388511658,0.8611631989479065,0.813559353351593,0.867537260055542,0.8591094613075256,0.8963795304298401,0.84375,0.6329114437103271,0.829971194267273,0.8384000062942505,0.8550724387168884,0.5882353186607361,0.9018212556838988,0.8561956882476807,0.8847925662994385,0.8474575877189636,0.10167225450277328,0.7341772317886353,0.8525456190109253,0.84375,0.8397435545921326,0.9196822643280028,0.16,0.9127986431121826,0.1029343605041504,0.8318923711776733,0.8656676411628723,32,0.7842611074447632,0.08089770376682281,0.5918367505073547,0.8620689511299133,0.8718728423118591,0.8828521966934204,0.841091513633728,0.9508196711540222,0.9677419066429138,0.7906197309494019,0.9127986431121826,0.0807233527302742,0.8333333134651184,0.5479452610015869,0.800000011920929,0.8611631989479065,0.7352024912834167,0.8420923948287964,0.8709677457809448,0.9162275791168212,0.9018212556838988,0.8333333134651184,0.5102040767669678,0.8990921378135681,0.9162275791168212,0.8990921378135681,0.375,0.8963795304298401,0.8638060092926025,0.84375,1.0
kenn_hybrid_adapter_bert_ms,1,16blful1,0.9473684430122375,0.9333333373069764,0.10223846137523653,0.8529411554336548,0.23232322931289673,0.8695183992385864,0.7740209698677063,1.0,0.4262295067310333,0.9090909361839294,0.8683448433876038,0.7883840203285217,0.08402922749519348,0.6802092790603638,0.8484848737716675,0.9098527431488036,0.9666666388511658,0.8671743869781494,0.5714285969734192,0.8899253606796265,0.8978486061096191,0.8986683487892151,0.9375,0.78125,0.829971194267273,0.7440890073776245,0.8949275612831116,0.6764705777168274,0.8866762518882751,0.8910608291625977,0.8847925662994385,0.8125,0.10180167108774184,0.8333333730697632,0.839577317237854,0.7142857313156128,0.7973174452781677,0.9098527431488036,0.11,0.9140454530715942,0.10136859118938446,0.8467819094657898,0.8954874277114868,37,0.7069251537322998,0.08298538625240326,0.7142857313156128,0.7647058963775635,0.8683448433876038,0.8695183992385864,0.8587480187416077,0.90625,0.8333333134651184,0.7149060368537903,0.9140454530715942,0.08350404351949692,0.8666666746139526,0.3458646833896637,0.8666666746139526,0.8671743869781494,0.5951807498931885,0.8431642651557922,0.888888955116272,0.9119442701339722,0.8866762518882751,0.8333333134651184,0.7352941036224365,0.8926320672035217,0.9119442701339722,0.8926320672035217,0.375,0.8986683487892151,0.9011194109916688,0.8108108043670654,1.0
kenn_top_down_adapter_bert_ms,1,25a44fdh,0.9473684430122375,0.9333333373069764,0.10258640348911284,0.8529411554336548,0.1568627506494522,0.8595442771911621,0.7329368591308594,1.0,0.4153846204280853,0.8955223560333252,0.8638782501220703,0.7532777190208435,0.08472511917352676,0.6159318685531616,0.7777777910232544,0.897715151309967,0.9666666388511658,0.8682562112808228,0.5684210062026978,0.8973880410194397,0.9048203229904176,0.8990844488143921,0.9375,0.7027026414871216,0.829971194267273,0.6670807600021362,0.9021739363670348,0.7058823704719543,0.8716965913772583,0.8973353505134583,0.8847925662994385,0.7246376276016235,0.10307697206735612,0.8219177722930908,0.8578290343284607,0.6000000238418579,0.7521008253097534,0.897715151309967,0.25,0.9142194986343384,0.10357225686311722,0.8496637344360352,0.9029503464698792,37,0.6490755081176758,0.08368128538131714,0.6976743936538696,0.6410256624221802,0.8638782501220703,0.8595442771911621,0.8619582653045654,0.90625,0.8108108043670654,0.6409266591072083,0.9142194986343384,0.08419997245073318,0.8333333134651184,0.2566845118999481,0.8999999761581421,0.8682562112808228,0.49700599908828735,0.8537268042564392,0.8484848737716675,0.9058921337127686,0.8716965913772583,0.8666666746139526,0.5909090638160706,0.8851786851882935,0.9058921337127686,0.8851786851882935,0.375,0.8990844488143921,0.908582091331482,0.7317073345184326,1.0
kenn_bottom_up_adapter_bert_ms,1,3czba196,0.9473684430122375,0.9333333373069764,0.10270239412784576,0.8529411554336548,0.1953125,0.8663797974586487,0.7644076347351074,1.0,0.4354838728904724,0.9230769276618958,0.8675698637962341,0.7804160714149475,0.08489909768104553,0.6599829792976379,0.8484848737716675,0.9044305682182312,0.9666666388511658,0.8687633275985718,0.5869565606117249,0.8955223560333252,0.9080882668495178,0.899292528629303,0.9375,0.7462686896324158,0.829971194267273,0.7097625136375427,0.9057971239089966,0.7352941036224365,0.8802443742752075,0.9002765417098999,0.8847925662994385,0.7878787517547607,0.1028471663594246,0.8333333730697632,0.8530259132385254,0.6382978558540344,0.7791455388069153,0.9044305682182312,0.1,0.914393424987793,0.10299234837293623,0.8506243824958801,0.902923345565796,37,0.6887215375900269,0.08350731432437897,0.7142857313156128,0.7222222089767456,0.8675698637962341,0.8663797974586487,0.8635634183883667,0.90625,0.8571428656578064,0.6849315166473389,0.914393424987793,0.08419745415449142,0.8666666746139526,0.3086419701576233,0.8999999761581421,0.8687633275985718,0.5506607890129089,0.8518235087394714,0.888888955116272,0.9093847274780272,0.8802443742752075,0.8333333134651184,0.6756756901741028,0.8896664977073669,0.9093847274780272,0.8896664977073669,0.375,0.899292528629303,0.9104477167129515,0.7594936490058899,1.0
kenn_hybrid_adapter_bert_ms,0,2kvwsmlu,0.9473684430122375,0.8666666746139526,0.10113662481307983,0.90625,0.6666666865348816,0.8853786587715149,0.8252311944961548,0.9333333373069764,0.7297297120094299,0.9508196711540222,0.8742093443870544,0.8323453068733215,0.08194154500961304,0.7824200987815857,0.9285714030265808,0.9233356714248656,0.9666666388511658,0.8633183240890503,0.8059700727462769,0.8917909860610962,0.8729983568191528,0.8972117900848389,0.96875,0.819672167301178,0.829971194267273,0.8543689250946045,0.8695651888847351,0.5882353186607361,0.903983235359192,0.8686956167221069,0.8847925662994385,0.78125,0.10081666707992554,0.6829268932342529,0.8323726654052734,0.7948718070983887,0.8509266972541809,0.9233356714248656,0.23,0.9132335782051086,0.1004987210035324,0.8376560211181641,0.8852129578590393,34,0.7989149689674377,0.08315935730934143,0.5384615659713745,0.7352941036224365,0.8742093443870544,0.8853786587715149,0.8475120663642883,0.9354838132858276,0.9354838728904724,0.813559353351593,0.9132335782051086,0.08254595845937729,0.8333333134651184,0.6250000596046448,0.8999999761581421,0.8633183240890503,0.7643312215805054,0.8350059986114502,0.8965517282485962,0.9182568192481996,0.903983235359192,0.8333333134651184,0.8064516186714172,0.9005848169326782,0.9182568192481996,0.9005848169326782,0.375,0.8972117900848389,0.8787313103675842,0.8732393980026245,0.9666666388511658
