name,instance,run_id,test/macro_example/recall,test_incremental/macro_example/recall,test_incremental_only/macro_example/precision,test_pretraining/micro/precision,test_incremental/micro/f1,test_incremental/micro/precision,test_incremental/macro_example_exclusive/recall,test_pretraining/macro_types/recall,test/micro/recall,test/micro/precision,threshold_pretraining,test_incremental_only/micro/f1,test_incremental/macro_example_exclusive/f1,test/micro/f1,test_pretraining/macro_example/recall,test_incremental_only/macro_example/recall,test_incremental_other-living_thing/macro_types/f1,test_incremental_other-living_thing/macro_types/recall,test_incremental/micro/recall,test_incremental/macro_types/f1,test_incremental_only/micro/precision,test_incremental_other-living_thing-animal/macro_types/f1,test/macro_example/precision,test/macro_types/f1,test/macro_types/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental_other-living_thing-animal/macro_types/recall,test_incremental_other-living_thing-animal/macro_types/precision,test_incremental_other-living_thing/macro_types/precision,test/macro_types/recall,test_incremental_only/micro/recall,test_incremental_only/macro_example/f1,test_incremental_only/macro_types/precision,test_pretraining/macro_example/f1,epoch,threshold_incremental,test_pretraining/micro/f1,test_incremental_only/macro_types/f1,test_pretraining/macro_types/precision,test_pretraining/macro_types/f1,test_incremental/macro_example/f1,test_pretraining/macro_example/precision,test_incremental/macro_example_exclusive/precision,test_incremental/macro_types/recall,test_incremental_only/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,test/macro_example/f1,test_incremental/macro_types/precision,test_incremental/macro_example/precision,test_pretraining/micro/recall,test_incremental_only/macro_example_exclusive/recall
kenn_hybrid_adapter_bert_ms,2,238j26nw,0.8634523153305054,0.023926986381411552,0.014800196513533592,0.7704252600669861,0.2072678506374359,0.11631420254707336,0.9509804248809814,0.8182529211044312,0.8570867776870728,0.7704252600669861,0.33,0.09404388815164566,0.8596433401107788,0.8114487528800964,0.8634523153305054,0.014800196513533592,0.8952381014823914,0.9215686321258544,0.9506173133850098,0.6220048666000366,0.04934210702776909,0.09404388815164566,0.7984778881072998,0.8323701620101929,0.8469830751419067,1.0,1.0,0.04934210702776909,0.8703703880310059,0.8182529211044312,1.0,0.014800196513533592,0.04934210702776909,0.8296949863433838,19,0.01,0.8114487528800964,0.09404388815164566,0.8469830751419067,0.8323701620101929,0.021628914400935173,0.7984778881072998,0.7843137979507446,0.9607843160629272,1.0,1.0,0.8296949863433838,0.459856241941452,0.019733596593141556,0.8570867776870728,1.0
kenn_top_down_adapter_bert_ms,2,3slzdkz7,0.8634523153305054,0.023926986381411552,0.014800196513533592,0.7870921492576599,0.24719101190567017,0.14206641912460327,0.9509804248809814,0.8182529211044312,0.8570867776870728,0.7870921492576599,0.33,0.11583011597394945,0.8596433401107788,0.8205996155738831,0.8634523153305054,0.014800196513533592,0.8952381014823914,0.9215686321258544,0.9506173133850098,0.6275308728218079,0.06147541105747223,0.11583011597394945,0.8140532970428467,0.8324921727180481,0.8472357988357544,1.0,1.0,0.06147541105747223,0.8703703880310059,0.8182529211044312,1.0,0.014800196513533592,0.06147541105747223,0.8380254507064819,20,0.060000000000000005,0.8205996155738831,0.11583011597394945,0.8472357988357544,0.8324921727180481,0.021628914400935173,0.8140532970428467,0.7843137979507446,0.9607843160629272,1.0,1.0,0.8380254507064819,0.4659228920936585,0.019733596593141556,0.8570867776870728,1.0
kenn_bottom_up_adapter_bert_ms,2,3fbxyti3,0.8634523153305054,0.023926986381411552,0.014800196513533592,0.7873759865760803,0.24798713624477384,0.14259259402751925,0.9509804248809814,0.8182529211044312,0.8570867776870728,0.7873759865760803,0.33,0.11627907305955888,0.8596433401107788,0.820753812789917,0.8634523153305054,0.014800196513533592,0.8952381014823914,0.9215686321258544,0.9506173133850098,0.6276456117630005,0.06172839552164078,0.11627907305955888,0.8122255802154541,0.8324947953224182,0.8472411632537842,1.0,1.0,0.06172839552164078,0.8703703880310059,0.8182529211044312,1.0,0.014800196513533592,0.06172839552164078,0.8370559811592102,22,0.01,0.820753812789917,0.11627907305955888,0.8472411632537842,0.8324947953224182,0.021628914400935173,0.8122255802154541,0.7843137979507446,0.9607843160629272,1.0,1.0,0.8370559811592102,0.4660494029521942,0.019733596593141556,0.8570867776870728,1.0
kenn_hybrid_adapter_bert_ms,1,f9g7phhe,0.8631234169006348,0.02343364618718624,0.01381351798772812,0.8218455910682678,0.3886010348796845,0.24590164422988892,0.9313726425170898,0.816864013671875,0.8566941618919373,0.8218455910682678,0.33,0.1992882788181305,0.8398504257202148,0.8389081358909607,0.8631234169006348,0.01381351798772812,0.8952381014823914,0.9215686321258544,0.92592591047287,0.6420460343360901,0.11155378818511964,0.1992882788181305,0.8388426899909973,0.8322752118110657,0.8482791185379028,0.9333333969116212,0.9333333373069764,0.11155378818511964,0.8703703880310059,0.816864013671875,0.9333333373069764,0.01381351798772812,0.11155378818511964,0.8508098721504211,19,0.02,0.8389081358909607,0.1992882788181305,0.8482791185379028,0.8322752118110657,0.021130917593836784,0.8388426899909973,0.7647058963775635,0.9274510145187378,0.9333333373069764,0.9333333969116212,0.8508098721504211,0.49096208810806274,0.019240256398916245,0.8566941618919373,0.9333333969116212
kenn_top_down_adapter_bert_ms,1,3ml1bz2t,0.8631234169006348,0.02343364618718624,0.01381351798772812,0.8243294358253479,0.4054054319858551,0.25951558351516724,0.9313726425170898,0.816864013671875,0.8566941618919373,0.8243294358253479,0.33,0.21132075786590576,0.8515406847000122,0.8402002453804016,0.8631234169006348,0.01381351798772812,0.8952381014823914,0.9215686321258544,0.92592591047287,0.6452846527099609,0.11914893984794615,0.21132075786590576,0.8413504362106323,0.8323514461517334,0.8484374284744263,0.9333333969116212,0.9333333373069764,0.11914893984794615,0.8703703880310059,0.816864013671875,0.9333333373069764,0.01381351798772812,0.11914893984794615,0.8520978689193726,20,0.1,0.8402002453804016,0.21132075786590576,0.8484374284744263,0.8323514461517334,0.021425047889351845,0.8413504362106323,0.7843137383460999,0.9274510145187378,0.9333333373069764,0.9333333969116212,0.8520978689193726,0.4947596788406372,0.019733596593141556,0.8566941618919373,0.9333333969116212
kenn_bottom_up_adapter_bert_ms,1,esvipsu0,0.8634523153305054,0.023926986381411552,0.014800196513533592,0.7968607544898987,0.2774774730205536,0.1624472588300705,0.9509804248809814,0.8182529211044312,0.8570867776870728,0.7968607544898987,0.33,0.13333334028720856,0.8596433401107788,0.8258771896362305,0.8634523153305054,0.014800196513533592,0.8952381014823914,0.9215686321258544,0.9506173133850098,0.6320289969444275,0.0714285746216774,0.13333334028720856,0.8182607889175415,0.8325923085212708,0.8474432229995728,1.0,1.0,0.0714285746216774,0.8703703880310059,0.8182529211044312,1.0,0.014800196513533592,0.0714285746216774,0.8402493596076965,22,0.01,0.8258771896362305,0.13333334028720856,0.8474432229995728,0.8325923085212708,0.021628914400935173,0.8182607889175415,0.7843137979507446,0.9607843160629272,1.0,1.0,0.8402493596076965,0.4708994925022125,0.019733596593141556,0.8570867776870728,1.0
kenn_hybrid_adapter_bert_ms,0,3qjts0hm,0.8627945184707642,0.02294030599296093,0.012826837599277496,0.7489697933197021,0.162222221493721,0.08913309127092361,0.9117648005485536,0.8154752254486084,0.8563015460968018,0.7489697933197021,0.33,0.06540881097316742,0.8761091232299805,0.7990474700927734,0.8627945184707642,0.012826837599277496,0.8952381014823914,0.9215686321258544,0.9012345671653748,0.6006121039390564,0.033986929804086685,0.06540881097316742,0.7840306758880615,0.830776572227478,0.8466631174087524,0.8666667342185974,0.8666666746139526,0.033986929804086685,0.8703703880310059,0.8154752254486084,0.8666666746139526,0.012826837599277496,0.033986929804086685,0.8215290307998657,23,0.99,0.7990474700927734,0.06540881097316742,0.8466631174087524,0.830776572227478,0.022043198347091675,0.7840306758880615,0.843137264251709,0.8941176533699036,0.8666666746139526,0.8666667342185974,0.8215290307998657,0.4521786570549011,0.02121361531317234,0.8563015460968018,0.8666667342185974
kenn_top_down_adapter_bert_ms,0,1gkhh4s3,0.8627945184707642,0.02294030599296093,0.012826837599277496,0.7490984201431274,0.1624026745557785,0.08924205601215363,0.9117648005485536,0.8154752254486084,0.8563015460968018,0.7490984201431274,0.33,0.06549118459224701,0.8813726305961609,0.7991206645965576,0.8627945184707642,0.012826837599277496,0.8952381014823914,0.9215686321258544,0.9012345671653748,0.6006317138671875,0.03403141349554062,0.06549118459224701,0.7841951251029968,0.8307769894599915,0.8466640710830688,0.8666667342185974,0.8666666746139526,0.03403141349554062,0.8703703880310059,0.8154752254486084,0.8666666746139526,0.012826837599277496,0.03403141349554062,0.8216193318367004,23,0.99,0.7991206645965576,0.06549118459224701,0.8466640710830688,0.8307769894599915,0.022175628691911697,0.7841951251029968,0.8529412150382996,0.8941176533699036,0.8666666746139526,0.8666667342185974,0.8216193318367004,0.45220088958740234,0.021460285410284996,0.8563015460968018,0.8666667342185974
kenn_bottom_up_adapter_bert_ms,0,akpuysdj,0.8624656200408936,0.02244696579873562,0.011840157210826874,0.7848784923553467,0.22503961622714996,0.12909090518951416,0.8921568989753723,0.8140863180160522,0.8559089303016663,0.7848784923553467,0.33,0.09125474840402605,0.8721083998680115,0.8188562989234924,0.8624656200408936,0.011840157210826874,0.8952381014823914,0.9215686321258544,0.8765432238578796,0.5990563035011292,0.04838709533214569,0.09125474840402605,0.8194818496704102,0.8301993608474731,0.8469631671905518,0.8000000715255737,0.800000011920929,0.04838709533214569,0.8703703880310059,0.8140863180160522,0.800000011920929,0.011840157210826874,0.04838709533214569,0.8404245376586914,23,0.96,0.8188562989234924,0.09125474840402605,0.8469631671905518,0.8301993608474731,0.021942539140582085,0.8194818496704102,0.8529412150382996,0.8607842922210693,0.800000011920929,0.8000000715255737,0.8404245376586914,0.4593787491321564,0.021460285410284996,0.8559089303016663,0.8000000715255737
box_adapter_bert_ms,2,gmm0c751,0.805050253868103,0.023680316284298897,0.014800196513533592,0.5985218286514282,0.07020784914493561,0.03646833077073097,0.9411765336990356,0.6746863722801208,0.7948566675186157,0.5985218286514282,0.26,0.029168693348765373,0.8556150197982788,0.6828569173812866,0.805050253868103,0.014800196513533592,0.8518518209457397,0.901960790157318,0.9382715821266174,0.5738590955734253,0.014800197444856169,0.029168693348765373,0.5878936052322388,0.703702449798584,0.7353264093399048,1.0,1.0,0.014800197444856169,0.8070175647735596,0.6746863722801208,1.0,0.014800196513533592,0.014800197444856169,0.6795448064804077,9,0.99,0.6828569173812866,0.029168693348765373,0.7353264093399048,0.703702449798584,0.02152755856513977,0.5878936052322388,0.7843137979507446,0.9509804248809814,1.0,1.0,0.6795448064804077,0.41090887784957886,0.019733596593141556,0.7948566675186157,1.0
