name,instance,run_id,test_incremental_other-living_thing/macro_types/precision,test_incremental/macro_types/recall,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_example_exclusive/recall,test/micro/precision,test_pretraining/macro_types/precision,epoch,test/macro_example/precision,test_pretraining/macro_example/precision,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_example_exclusive/precision,test_pretraining/micro/precision,test_incremental_only/macro_types/f1,test_incremental_only/macro_types/recall,test_incremental_other-living_thing/macro_types/f1,test/macro_types/recall,test_pretraining/macro_example/f1,test_incremental/macro_example_exclusive/recall,threshold_incremental,test/macro_example/recall,test_incremental/micro/recall,test_incremental_other-living_thing-animal/macro_types/recall,test_pretraining/micro/recall,test_incremental_only/micro/recall,test_incremental_only/macro_example/precision,test_incremental_other-living_thing-animal/macro_types/precision,test/macro_example/f1,test/macro_types/precision,test_incremental_only/micro/f1,test_incremental/macro_example/precision,test_incremental_other-living_thing/macro_types/recall,test_incremental_other-living_thing-animal/macro_types/f1,test_incremental_only/macro_types/precision,test_pretraining/macro_types/f1,test_incremental/micro/precision,test_incremental/macro_example/f1,test_incremental/macro_types/precision,threshold_pretraining,test_incremental/macro_types/f1,test_incremental_only/macro_example/recall,test_pretraining/macro_types/recall,test_incremental/macro_example/recall,test_incremental_only/micro/precision,test/micro/f1,test/micro/recall,test_pretraining/micro/f1,test_pretraining/macro_example/recall,test/macro_types/f1,test_incremental/micro/f1,test_incremental_only/macro_example/f1,test_incremental_only/macro_example_exclusive/f1
kenn_hybrid_adapter_bert_ms,2,3s63eipm,0.8703703880310059,0.9107843041419984,0.8642960786819458,0.9000000953674316,0.8543176054954529,0.8576738834381104,17,0.863751232624054,0.863751232624054,0.8137255311012268,0.9000000953674316,0.8543176054954529,0.6923076510429382,0.8999999761581421,0.8952381014823914,0.8161696195602417,0.8633549213409424,0.9215686917304992,0.18000000000000002,0.8629589676856995,0.9135802388191224,0.8999999761581421,0.8564978241920471,0.8999999761581421,0.013320177793502808,0.5625,0.8633549213409424,0.8576738834381104,0.6923076510429382,0.020473606884479523,0.9215686321258544,0.6923076510429382,0.5625,0.8364071846008301,0.7254902124404907,0.02174597978591919,0.7164351940155029,0.33,0.8020035624504089,0.013320177793502808,0.8161696195602417,0.023186976090073586,0.5625,0.8554063439369202,0.8564978241920471,0.8554063439369202,0.8629589676856995,0.8364071846008301,0.8087431192398071,0.013320177793502808,0.9000000953674316
kenn_top_down_adapter_bert_ms,2,280uvizx,0.8703703880310059,0.9107843041419984,0.8697951436042786,0.9000000953674316,0.8531482219696045,0.856182336807251,18,0.8632990121841431,0.8632990121841431,0.8235294222831726,0.9000000953674316,0.8531482219696045,0.6352941393852234,0.8999999761581421,0.8952381014823914,0.8161696195602417,0.8631289005279541,0.9215686917304992,0.37,0.8629589676856995,0.9135802388191224,0.8999999761581421,0.8564978241920471,0.8999999761581421,0.013320177793502808,0.4909090995788574,0.8631289005279541,0.856182336807251,0.6352941393852234,0.02072027698159218,0.9215686321258544,0.6352941393852234,0.4909090995788574,0.8356972932815552,0.6788991093635559,0.021884335204958916,0.6806397438049316,0.33,0.7790708541870117,0.013320177793502808,0.8161696195602417,0.023186976090073586,0.4909090995788574,0.8548197150230408,0.8564978241920471,0.8548197150230408,0.8629589676856995,0.8356972932815552,0.7789474129676819,0.013320177793502808,0.9000000953674316
kenn_bottom_up_adapter_bert_ms,2,3orf0z2x,0.8703703880310059,0.9107843041419984,0.8697951436042786,0.9000000953674316,0.8548197746276855,0.8584550619125366,18,0.8642445802688599,0.8642445802688599,0.8235294222831726,0.9000000953674316,0.8548197746276855,0.7200000286102295,0.8999999761581421,0.8952381014823914,0.8161696195602417,0.8636012673377991,0.9215686917304992,0.19,0.8629589676856995,0.9135802388191224,0.8999999761581421,0.8564978241920471,0.8999999761581421,0.013320177793502808,0.6000000238418579,0.8636012673377991,0.8584550619125366,0.7200000286102295,0.02072027698159218,0.9215686321258544,0.7200000286102295,0.6000000238418579,0.8367785215377808,0.747474730014801,0.021884335204958916,0.7351852059364319,0.33,0.8136178851127625,0.013320177793502808,0.8161696195602417,0.023186976090073586,0.6000000238418579,0.8556579947471619,0.8564978241920471,0.8556579947471619,0.8629589676856995,0.8367785215377808,0.8222221732139587,0.013320177793502808,0.9000000953674316
kenn_hybrid_adapter_bert_ms,1,2zlb6rvn,0.8703703880310059,0.9607843160629272,0.8596433401107788,1.0,0.7455601096153259,0.8467392921447754,13,0.768014132976532,0.768014132976532,0.7843137979507446,1.0,0.7455601096153259,0.07255138456821442,1.0,0.8952381014823914,0.8182529211044312,0.8129417300224304,0.9509804248809814,0.01,0.8634523153305054,0.9506173133850098,1.0,0.8570867776870728,1.0,0.014800196513533592,0.03764115273952484,0.8129417300224304,0.8467392921447754,0.07255138456821442,0.019733596593141556,0.9215686321258544,0.07255138456821442,0.03764115273952484,0.8322524428367615,0.09048178791999816,0.021628914400935173,0.45400577783584595,0.33,0.6166308522224426,0.014800196513533592,0.8182529211044312,0.023926986381411552,0.03764115273952484,0.7974429726600647,0.8570867776870728,0.7974429726600647,0.8634523153305054,0.8322524428367615,0.1652360558509827,0.014800196513533592,1.0
kenn_top_down_adapter_bert_ms,1,2nvfarpy,0.8703703880310059,0.9607843160629272,0.8596433401107788,1.0,0.7503007650375366,0.8467774391174316,13,0.7735254764556885,0.7735254764556885,0.7843137979507446,1.0,0.7503007650375366,0.07594936341047287,1.0,0.8952381014823914,0.8182529211044312,0.81601881980896,0.9509804248809814,0.05,0.8634523153305054,0.9506173133850098,1.0,0.8570867776870728,1.0,0.014800196513533592,0.03947368264198303,0.81601881980896,0.8467774391174316,0.07594936341047287,0.019733596593141556,0.9215686321258544,0.07594936341047287,0.03947368264198303,0.8322708606719971,0.09459459781646729,0.021628914400935173,0.4549220204353333,0.33,0.6174753904342651,0.014800196513533592,0.8182529211044312,0.023926986381411552,0.03947368264198303,0.8001465797424316,0.8570867776870728,0.8001465797424316,0.8634523153305054,0.8322708606719971,0.1720670461654663,0.014800196513533592,1.0
kenn_bottom_up_adapter_bert_ms,1,1h9hv8t0,0.8703703880310059,0.9607843160629272,0.8596433401107788,1.0,0.7822970747947693,0.8471524715423584,13,0.8027986884117126,0.8027986884117126,0.7843137979507446,1.0,0.7822970747947693,0.10869564861059187,1.0,0.8952381014823914,0.8182529211044312,0.8320216536521912,0.9509804248809814,0.02,0.8634523153305054,0.9506173133850098,1.0,0.8570867776870728,1.0,0.014800196513533592,0.05747126415371895,0.8320216536521912,0.8471524715423584,0.10869564861059187,0.019733596593141556,0.9215686321258544,0.10869564861059187,0.05747126415371895,0.8324519395828247,0.1336805522441864,0.021628914400935173,0.46392083168029785,0.33,0.6257123947143555,0.014800196513533592,0.8182529211044312,0.023926986381411552,0.05747126415371895,0.8179859519004822,0.8570867776870728,0.8179859519004822,0.8634523153305054,0.8324519395828247,0.23439878225326535,0.014800196513533592,1.0
kenn_hybrid_adapter_bert_ms,0,18dh7va5,0.8703703880310059,0.9274510145187378,0.8741374015808105,0.9333333969116212,0.792445957660675,0.847257137298584,19,0.8247687816619873,0.8247687816619873,0.8235294222831726,0.9333333969116212,0.792445957660675,0.1171548143029213,0.9333333373069764,0.8952381014823914,0.816864013671875,0.8435102701187134,0.9313725829124452,0.94,0.8631234169006348,0.92592591047287,0.9333333373069764,0.8566941618919373,0.9333333373069764,0.013813517056405544,0.0625,0.8435102701187134,0.847257137298584,0.1171548143029213,0.02072027511894703,0.9215686321258544,0.1171548143029213,0.0625,0.8317829966545105,0.14940239489078522,0.021993588656187057,0.466435194015503,0.33,0.6207045912742615,0.013813517056405544,0.816864013671875,0.02343364618718624,0.0625,0.823318600654602,0.8566941618919373,0.823318600654602,0.8631234169006348,0.8317829966545105,0.2572898864746094,0.013813517056405544,0.9333333969116212
kenn_top_down_adapter_bert_ms,0,xlgsen80,0.8703703880310059,0.9274510145187378,0.8796296715736389,0.9333333969116212,0.7983900308609009,0.8473883867263794,19,0.8297268152236938,0.8297268152236938,0.8333333730697632,0.9333333969116212,0.7983900308609009,0.1281464397907257,0.9333333373069764,0.8952381014823914,0.816864013671875,0.8460957407951355,0.9313725829124452,0.92,0.8631234169006348,0.92592591047287,0.9333333373069764,0.8566941618919373,0.9333333373069764,0.013813517056405544,0.0687960684299469,0.8460957407951355,0.8473883867263794,0.1281464397907257,0.020966945216059685,0.9215686321258544,0.1281464397907257,0.0687960684299469,0.831846296787262,0.16268980503082275,0.022131776437163353,0.4695832133293152,0.33,0.6234857439994812,0.013813517056405544,0.816864013671875,0.02343364618718624,0.0687960684299469,0.8265151381492615,0.8566941618919373,0.8265151381492615,0.8631234169006348,0.831846296787262,0.276752769947052,0.013813517056405544,0.9333333969116212
kenn_bottom_up_adapter_bert_ms,0,1y7dngw8,0.8703703880310059,0.9274510145187378,0.9113430380821228,0.9333333969116212,0.829184889793396,0.8488146066665649,19,0.852590799331665,0.852590799331665,0.8921568989753723,0.9333333969116212,0.829184889793396,0.23931625485420227,0.9333333373069764,0.8952381014823914,0.816864013671875,0.8578248023986816,0.9313725829124452,0.76,0.8631234169006348,0.92592591047287,0.9333333373069764,0.8566941618919373,0.9333333373069764,0.013813517056405544,0.13725490868091583,0.8578248023986816,0.8488146066665649,0.23931625485420227,0.02244696579873562,0.9215686321258544,0.23931625485420227,0.13725490868091583,0.8325328826904297,0.2906976640224457,0.02292969636619091,0.5038126707077026,0.33,0.6529356837272644,0.013813517056405544,0.816864013671875,0.02343364618718624,0.13725490868091583,0.8427150845527649,0.8566941618919373,0.8427150845527649,0.8631234169006348,0.8325328826904297,0.4424778819084167,0.013813517056405544,0.9333333969116212
box_adapter_bert_ms,2,9kn3d5mc,0.8070175647735596,0.9509804248809814,0.8556150197982788,1.0,0.5985218286514282,0.7353264093399048,18,0.5878936052322388,0.5878936052322388,0.7843137979507446,1.0,0.5985218286514282,0.029168693348765373,1.0,0.8518518209457397,0.6746863722801208,0.6795448064804077,0.9411765336990356,0.99,0.805050253868103,0.9382715821266174,1.0,0.7948566675186157,1.0,0.014800196513533592,0.014800197444856169,0.6795448064804077,0.7353264093399048,0.029168693348765373,0.019733596593141556,0.901960790157318,0.029168693348765373,0.014800197444856169,0.703702449798584,0.03646833077073097,0.02152755856513977,0.41090887784957886,0.26,0.5738590955734253,0.014800196513533592,0.6746863722801208,0.023680316284298897,0.014800197444856169,0.6828569173812866,0.7948566675186157,0.6828569173812866,0.805050253868103,0.703702449798584,0.07020784914493561,0.014800196513533592,1.0
