name,instance,run_id,test_incremental_only/macro_types/precision,test_incremental/macro_example_exclusive/recall,test_incremental_only/micro/f1,test_incremental/macro_example_exclusive/precision,test_incremental/macro_types/recall,test_incremental_only/macro_example/f1,test_incremental_other-living_thing/macro_types/f1,test/macro_types/f1,test/micro/precision,threshold_pretraining,test/macro_types/recall,test_incremental_only/micro/precision,test/macro_example/f1,test/macro_example/recall,test/micro/f1,test_pretraining/micro/recall,test_incremental/micro/precision,test_incremental/macro_example/f1,test_pretraining/macro_example/f1,test_incremental/macro_types/precision,threshold_incremental,test_incremental_only/macro_example/recall,test_incremental/macro_example/precision,test_incremental/micro/recall,test_pretraining/macro_types/f1,test_pretraining/macro_example/recall,test_incremental/micro/f1,test_incremental_only/micro/recall,test_incremental_other-living_thing/macro_types/recall,test_incremental_other-living_thing/macro_types/precision,test_incremental/macro_example/recall,test_incremental_only/macro_example_exclusive/precision,test_incremental_other-living_thing-animal/macro_types/precision,test_pretraining/macro_types/recall,test_pretraining/micro/precision,test_incremental/macro_example_exclusive/f1,test_incremental_other-living_thing-animal/macro_types/f1,epoch,test/macro_types/precision,test/macro_example/precision,test_pretraining/micro/f1,test_incremental_other-living_thing-animal/macro_types/recall,test_incremental_only/macro_types/f1,test_pretraining/macro_types/precision,test_incremental_only/macro_example/precision,test_pretraining/macro_example/precision,test_incremental_only/macro_example_exclusive/recall,test/micro/recall,test_incremental/macro_types/f1,test_incremental_only/macro_types/recall,test_incremental_only/macro_example_exclusive/f1
kenn_hybrid_adapter_bert_ms,2,2u6q7y0k,0.78125,0.901960790157318,0.8064516186714172,0.8627451658248901,0.8774509429931641,0.012333497405052183,0.8952381014823914,0.8378346562385559,0.8566097021102905,0.33,0.8147807121276855,0.78125,0.8641130924224854,0.8626300692558289,0.8563573360443115,0.8561052083969116,0.8372092843055725,0.02218933403491974,0.8641130924224854,0.8258101940155029,0.24,0.012333497405052183,0.0217069573700428,0.8888888955116272,0.8378346562385559,0.8626300692558289,0.8622754812240601,0.8333333134651184,0.9215686321258544,0.8703703880310059,0.02269363589584827,0.8333333730697632,0.78125,0.8147807121276855,0.8566097021102905,0.8819172382354736,0.8064516186714172,58,0.8622311353683472,0.8656012415885925,0.8563573360443115,0.8333333134651184,0.8064516186714172,0.8622311353683472,0.012333497405052183,0.8656012415885925,0.8333333730697632,0.8561052083969116,0.8508477210998535,0.8333333134651184,0.833333432674408
kenn_top_down_adapter_bert_ms,2,38evr53h,0.6190476417541504,0.9117647409439088,0.7222222685813904,0.8823529481887817,0.8941176533699036,0.012826837599277496,0.8952381014823914,0.8366016745567322,0.8551264405250549,0.33,0.8154752254486084,0.6190476417541504,0.8640316128730774,0.8627945184707642,0.8557136058807373,0.8563015460968018,0.7604166865348816,0.02256423607468605,0.8640316128730774,0.7447090148925781,0.44,0.012826837599277496,0.022200295701622963,0.9012345671653748,0.8366016745567322,0.8627945184707642,0.8248587846755981,0.8666666746139526,0.9215686321258544,0.8703703880310059,0.02294030599296093,0.8666666746139526,0.6190476417541504,0.8154752254486084,0.8551264405250549,0.8968177437782288,0.7222222685813904,60,0.8588519096374512,0.8652723431587219,0.8557136058807373,0.8666666746139526,0.7222222685813904,0.8588519096374512,0.012826837599277496,0.8652723431587219,0.8666666746139526,0.8563015460968018,0.8126027584075928,0.8666666746139526,0.8666666746139526
kenn_bottom_up_adapter_bert_ms,2,mkzmqwru,0.7575757503509521,0.901960790157318,0.7936508059501648,0.8627451658248901,0.8774509429931641,0.012333497405052183,0.8952381014823914,0.8376017212867737,0.8564414978027344,0.33,0.8147807121276855,0.7575757503509521,0.8641130924224854,0.8626300692558289,0.8562732934951782,0.8561052083969116,0.8275862336158752,0.02218933403491974,0.8641130924224854,0.813973069190979,0.27,0.012333497405052183,0.0217069573700428,0.8888888955116272,0.8376017212867737,0.8626300692558289,0.8571429252624512,0.8333333134651184,0.9215686321258544,0.8703703880310059,0.02269363589584827,0.8333333730697632,0.7575757503509521,0.8147807121276855,0.8564414978027344,0.8819172382354736,0.7936508059501648,59,0.8617379665374756,0.8656012415885925,0.8562732934951782,0.8333333134651184,0.7936508059501648,0.8617379665374756,0.012333497405052183,0.8656012415885925,0.8333333730697632,0.8561052083969116,0.8445208668708801,0.8333333134651184,0.833333432674408
kenn_hybrid_adapter_bert_ms,1,3kzi9u98,0.035110533237457275,0.9215686917304992,0.06758448481559753,0.8235294818878174,0.9107843041419984,0.013320177793502808,0.8952381014823914,0.831148087978363,0.7486273050308228,0.33,0.8161696195602417,0.035110533237457275,0.8213778138160706,0.8629589676856995,0.7989379167556763,0.8564978241920471,0.0899149477481842,0.021884337067604065,0.8213778138160706,0.4527404606342316,0.99,0.013320177793502808,0.02072027511894703,0.9135802388191224,0.831148087978363,0.8629589676856995,0.16371682286262512,0.8999999761581421,0.9215686321258544,0.8703703880310059,0.023186976090073586,0.9000000357627869,0.035110533237457275,0.8161696195602417,0.7486273050308228,0.8697952032089233,0.06758448481559753,37,0.846686601638794,0.7836195826530457,0.7989379167556763,0.8999999761581421,0.06758448481559753,0.846686601638794,0.013320177793502808,0.7836195826530457,0.9000000357627869,0.8564978241920471,0.604827880859375,0.8999999761581421,0.9000000357627869
kenn_top_down_adapter_bert_ms,1,gmxr1lo5,0.030104711651802063,0.8823529481887817,0.057934507727622986,0.8333333730697632,0.8441176414489746,0.011346817947924135,0.8952381014823914,0.8296552300453186,0.748583197593689,0.33,0.8133918046951294,0.030104711651802063,0.8211700320243835,0.862301230430603,0.7985710501670837,0.8557125926017761,0.08557457476854324,0.0215659998357296,0.8211700320243835,0.45023754239082336,0.99,0.011346817947924135,0.020966945216059685,0.8641975522041321,0.8296552300453186,0.862301230430603,0.15572859346866608,0.7666666507720947,0.9215686321258544,0.8703703880310059,0.022200295701622963,0.7666667103767395,0.030104711651802063,0.8133918046951294,0.748583197593689,0.8571428656578064,0.057934507727622986,40,0.846582293510437,0.783784031867981,0.7985710501670837,0.7666666507720947,0.057934507727622986,0.846582293510437,0.011346817947924135,0.783784031867981,0.7666667103767395,0.8557125926017761,0.5872475504875183,0.7666666507720947,0.7666667103767395
kenn_bottom_up_adapter_bert_ms,1,bf8f4263,0.16867469251155853,0.9313726425170898,0.2857142686843872,0.774509847164154,0.9274510145187378,0.01381351798772812,0.8952381014823914,0.8328476548194885,0.8352153301239014,0.33,0.816864013671875,0.16867469251155853,0.85636967420578,0.8631234169006348,0.8458183407783508,0.8566941618919373,0.34090909361839294,0.021278828382492065,0.85636967420578,0.5195225477218628,0.02,0.01381351798772812,0.0194869264960289,0.92592591047287,0.8328476548194885,0.8631234169006348,0.498338907957077,0.9333333373069764,0.9215686321258544,0.8703703880310059,0.02343364618718624,0.9333333969116212,0.16867469251155853,0.816864013671875,0.8352153301239014,0.8457291126251221,0.2857142686843872,43,0.8494691848754883,0.84972083568573,0.8458183407783508,0.9333333373069764,0.2857142686843872,0.8494691848754883,0.01381351798772812,0.84972083568573,0.9333333969116212,0.8566941618919373,0.6659854650497437,0.9333333373069764,0.9333333969116212
kenn_hybrid_adapter_bert_ms,0,360a94vf,0.0838509351015091,0.9215686917304992,0.15340910851955414,0.8823530077934265,0.9107843041419984,0.013320177793502808,0.8952381014823914,0.8316370844841003,0.8108158111572266,0.33,0.8161696195602417,0.0838509351015091,0.8515425324440002,0.8629589676856995,0.8330310583114624,0.8564978241920471,0.19680851697921753,0.022682910785079,0.8515425324440002,0.4771106541156769,0.87,0.013320177793502808,0.022200295701622963,0.9135802388191224,0.8316370844841003,0.8629589676856995,0.32385122776031494,0.8999999761581421,0.9215686321258544,0.8703703880310059,0.023186976090073586,0.9000000357627869,0.0838509351015091,0.8161696195602417,0.8108158111572266,0.901534616947174,0.15340910851955414,64,0.8477020263671875,0.840424120426178,0.8330310583114624,0.8999999761581421,0.15340910851955414,0.8477020263671875,0.013320177793502808,0.840424120426178,0.9000000357627869,0.8564978241920471,0.6261927485466003,0.8999999761581421,0.9000000357627869
kenn_top_down_adapter_bert_ms,0,zqypw5hi,0.08709677308797836,0.9215686917304992,0.15882353484630585,0.8921569585800171,0.9107843041419984,0.013320177793502808,0.8952381014823914,0.8316695690155029,0.8126280307769775,0.33,0.8161696195602417,0.08709677308797836,0.8520739674568176,0.8629589676856995,0.8339864611625671,0.8564978241920471,0.2032967060804367,0.02281096950173378,0.8520739674568176,0.4787335693836212,0.86,0.013320177793502808,0.02244696579873562,0.9135802388191224,0.8316695690155029,0.8629589676856995,0.3325842618942261,0.8999999761581421,0.9215686321258544,0.8703703880310059,0.023186976090073586,0.9000000357627869,0.08709677308797836,0.8161696195602417,0.8126280307769775,0.9066243171691896,0.15882353484630585,65,0.8477696180343628,0.841460108757019,0.8339864611625671,0.8999999761581421,0.15882353484630585,0.8477696180343628,0.013320177793502808,0.841460108757019,0.9000000357627869,0.8564978241920471,0.6275889277458191,0.8999999761581421,0.9000000357627869
kenn_bottom_up_adapter_bert_ms,0,10685mfe,0.033039648085832596,0.8039215803146362,0.06198347359895706,0.8823530077934265,0.7107843160629272,0.007400098256766796,0.8952381014823914,0.8267847299575806,0.7892254590988159,0.33,0.8078362941741943,0.033039648085832596,0.8417969942092896,0.8609856367111206,0.820401668548584,0.8541421294212341,0.12204724550247192,0.021167723461985588,0.8417969942092896,0.4517050087451935,0.95,0.007400098256766796,0.022200295701622963,0.7654321193695068,0.8267847299575806,0.8609856367111206,0.21052631735801697,0.5,0.9215686321258544,0.8703703880310059,0.02022693492472172,0.5,0.033039648085832596,0.8078362941741943,0.7892254590988159,0.8413133025169373,0.06198347359895706,66,0.8466434478759766,0.8234449625015259,0.820401668548584,0.5,0.06198347359895706,0.8466434478759766,0.007400098256766796,0.8234449625015259,0.5,0.8541421294212341,0.5523746609687805,0.5,0.5
box_adapter_bert_ms,2,2mi2t6fq,0.014800197444856169,0.9411765336990356,0.029168693348765373,0.7843137979507446,0.9509804248809814,0.014800196513533592,0.8518518209457397,0.703702449798584,0.5985218286514282,0.26,0.6746863722801208,0.014800197444856169,0.6795448064804077,0.805050253868103,0.6828569173812866,0.7948566675186157,0.03646833077073097,0.02152755856513977,0.6795448064804077,0.41090887784957886,0.99,0.014800196513533592,0.019733596593141556,0.9382715821266174,0.703702449798584,0.805050253868103,0.07020784914493561,1.0,0.901960790157318,0.8070175647735596,0.023680316284298897,1.0,0.014800197444856169,0.6746863722801208,0.5985218286514282,0.8556150197982788,0.029168693348765373,7,0.7353264093399048,0.5878936052322388,0.6828569173812866,1.0,0.029168693348765373,0.7353264093399048,0.014800196513533592,0.5878936052322388,1.0,0.7948566675186157,0.5738590955734253,1.0,1.0
